"Country or Area","Year(s)","Variant","Value"
"Haiti","2015","Medium","10695.542"
"Haiti","2015","High","10695.542"
"Haiti","2015","Low","10695.542"
"Haiti","2015","Constant fertility","10695.542"
"Haiti","2015","Instant replacement","10695.542"
"Haiti","2015","Zero migration","10695.542"
"Haiti","2015","Constant mortality","10695.542"
"Haiti","2015","No change","10695.542"
"Haiti","2015","Momentum","10695.542"
"Haiti","2014","Medium","10549.009"
"Haiti","2014","High","10549.009"
"Haiti","2014","Low","10549.009"
"Haiti","2014","Constant fertility","10549.009"
"Haiti","2014","Instant replacement","10549.009"
"Haiti","2014","Zero migration","10549.009"
"Haiti","2014","Constant mortality","10549.009"
"Haiti","2014","No change","10549.009"
"Haiti","2014","Momentum","10549.009"
"Haiti","2013","Medium","10400.675"
"Haiti","2013","High","10400.675"
"Haiti","2013","Low","10400.675"
"Haiti","2013","Constant fertility","10400.675"
"Haiti","2013","Instant replacement","10400.675"
"Haiti","2013","Zero migration","10400.675"
"Haiti","2013","Constant mortality","10400.675"
"Haiti","2013","No change","10400.675"
"Haiti","2013","Momentum","10400.675"
"Haiti","2012","Medium","10250.93"
"Haiti","2012","High","10250.93"
"Haiti","2012","Low","10250.93"
"Haiti","2012","Constant fertility","10250.93"
"Haiti","2012","Instant replacement","10250.93"
"Haiti","2012","Zero migration","10250.93"
"Haiti","2012","Constant mortality","10250.93"
"Haiti","2012","No change","10250.93"
"Haiti","2012","Momentum","10250.93"
"Haiti","2011","Medium","10100.32"
"Haiti","2011","High","10100.32"
"Haiti","2011","Low","10100.32"
"Haiti","2011","Constant fertility","10100.32"
"Haiti","2011","Instant replacement","10100.32"
"Haiti","2011","Zero migration","10100.32"
"Haiti","2011","Constant mortality","10100.32"
"Haiti","2011","No change","10100.32"
"Haiti","2011","Momentum","10100.32"
"Haiti","2010","Medium","9949.322"
"Haiti","2010","High","9949.322"
"Haiti","2010","Low","9949.322"
"Haiti","2010","Constant fertility","9949.322"
"Haiti","2010","Instant replacement","9949.322"
"Haiti","2010","Zero migration","9949.322"
"Haiti","2010","Constant mortality","9949.322"
"Haiti","2010","No change","9949.322"
"Haiti","2010","Momentum","9949.322"
"Haiti","2009","Medium","9798.046"
"Haiti","2009","High","9798.046"
"Haiti","2009","Low","9798.046"
"Haiti","2009","Constant fertility","9798.046"
"Haiti","2009","Instant replacement","9798.046"
"Haiti","2009","Zero migration","9798.046"
"Haiti","2009","Constant mortality","9798.046"
"Haiti","2009","No change","9798.046"
"Haiti","2009","Momentum","9798.046"
"Haiti","2008","Medium","9646.58"
"Haiti","2008","High","9646.58"
"Haiti","2008","Low","9646.58"
"Haiti","2008","Constant fertility","9646.58"
"Haiti","2008","Instant replacement","9646.58"
"Haiti","2008","Zero migration","9646.58"
"Haiti","2008","Constant mortality","9646.58"
"Haiti","2008","No change","9646.58"
"Haiti","2008","Momentum","9646.58"
"Haiti","2007","Medium","9495.328"
"Haiti","2007","High","9495.328"
"Haiti","2007","Low","9495.328"
"Haiti","2007","Constant fertility","9495.328"
"Haiti","2007","Instant replacement","9495.328"
"Haiti","2007","Zero migration","9495.328"
"Haiti","2007","Constant mortality","9495.328"
"Haiti","2007","No change","9495.328"
"Haiti","2007","Momentum","9495.328"
"Haiti","2006","Medium","9344.785"
"Haiti","2006","High","9344.785"
"Haiti","2006","Low","9344.785"
"Haiti","2006","Constant fertility","9344.785"
"Haiti","2006","Instant replacement","9344.785"
"Haiti","2006","Zero migration","9344.785"
"Haiti","2006","Constant mortality","9344.785"
"Haiti","2006","No change","9344.785"
"Haiti","2006","Momentum","9344.785"
"Haiti","2005","Medium","9195.288"
"Haiti","2005","High","9195.288"
"Haiti","2005","Low","9195.288"
"Haiti","2005","Constant fertility","9195.288"
"Haiti","2005","Instant replacement","9195.288"
"Haiti","2005","Zero migration","9195.288"
"Haiti","2005","Constant mortality","9195.288"
"Haiti","2005","No change","9195.288"
"Haiti","2005","Momentum","9195.288"
"Haiti","2004","Medium","9047.077"
"Haiti","2004","High","9047.077"
"Haiti","2004","Low","9047.077"
"Haiti","2004","Constant fertility","9047.077"
"Haiti","2004","Instant replacement","9047.077"
"Haiti","2004","Zero migration","9047.077"
"Haiti","2004","Constant mortality","9047.077"
"Haiti","2004","No change","9047.077"
"Haiti","2004","Momentum","9047.077"
"Haiti","2003","Medium","8900.104"
"Haiti","2003","High","8900.104"
"Haiti","2003","Low","8900.104"
"Haiti","2003","Constant fertility","8900.104"
"Haiti","2003","Instant replacement","8900.104"
"Haiti","2003","Zero migration","8900.104"
"Haiti","2003","Constant mortality","8900.104"
"Haiti","2003","No change","8900.104"
"Haiti","2003","Momentum","8900.104"
"Haiti","2002","Medium","8754.15"
"Haiti","2002","High","8754.15"
"Haiti","2002","Low","8754.15"
"Haiti","2002","Constant fertility","8754.15"
"Haiti","2002","Instant replacement","8754.15"
"Haiti","2002","Zero migration","8754.15"
"Haiti","2002","Constant mortality","8754.15"
"Haiti","2002","No change","8754.15"
"Haiti","2002","Momentum","8754.15"
"Haiti","2001","Medium","8608.819"
"Haiti","2001","High","8608.819"
"Haiti","2001","Low","8608.819"
"Haiti","2001","Constant fertility","8608.819"
"Haiti","2001","Instant replacement","8608.819"
"Haiti","2001","Zero migration","8608.819"
"Haiti","2001","Constant mortality","8608.819"
"Haiti","2001","No change","8608.819"
"Haiti","2001","Momentum","8608.819"
"Haiti","2000","Medium","8463.806"
"Haiti","2000","High","8463.806"
"Haiti","2000","Low","8463.806"
"Haiti","2000","Constant fertility","8463.806"
"Haiti","2000","Instant replacement","8463.806"
"Haiti","2000","Zero migration","8463.806"
"Haiti","2000","Constant mortality","8463.806"
"Haiti","2000","No change","8463.806"
"Haiti","2000","Momentum","8463.806"
"Holy See","2015","Medium","0.803"
"Holy See","2015","High","0.803"
"Holy See","2015","Low","0.803"
"Holy See","2015","Constant fertility","0.803"
"Holy See","2015","Instant replacement","0.803"
"Holy See","2015","Zero migration","0.803"
"Holy See","2015","Constant mortality","0.803"
"Holy See","2015","No change","0.803"
"Holy See","2015","Momentum","0.803"
"Holy See","2014","Medium","0.8"
"Holy See","2014","High","0.8"
"Holy See","2014","Low","0.8"
"Holy See","2014","Constant fertility","0.8"
"Holy See","2014","Instant replacement","0.8"
"Holy See","2014","Zero migration","0.8"
"Holy See","2014","Constant mortality","0.8"
"Holy See","2014","No change","0.8"
"Holy See","2014","Momentum","0.8"
"Holy See","2013","Medium","0.801"
"Holy See","2013","High","0.801"
"Holy See","2013","Low","0.801"
"Holy See","2013","Constant fertility","0.801"
"Holy See","2013","Instant replacement","0.801"
"Holy See","2013","Zero migration","0.801"
"Holy See","2013","Constant mortality","0.801"
"Holy See","2013","No change","0.801"
"Holy See","2013","Momentum","0.801"
"Holy See","2012","Medium","0.804"
"Holy See","2012","High","0.804"
"Holy See","2012","Low","0.804"
"Holy See","2012","Constant fertility","0.804"
"Holy See","2012","Instant replacement","0.804"
"Holy See","2012","Zero migration","0.804"
"Holy See","2012","Constant mortality","0.804"
"Holy See","2012","No change","0.804"
"Holy See","2012","Momentum","0.804"
"Holy See","2011","Medium","0.796"
"Holy See","2011","High","0.796"
"Holy See","2011","Low","0.796"
"Holy See","2011","Constant fertility","0.796"
"Holy See","2011","Instant replacement","0.796"
"Holy See","2011","Zero migration","0.796"
"Holy See","2011","Constant mortality","0.796"
"Holy See","2011","No change","0.796"
"Holy See","2011","Momentum","0.796"
"Holy See","2010","Medium","0.794"
"Holy See","2010","High","0.794"
"Holy See","2010","Low","0.794"
"Holy See","2010","Constant fertility","0.794"
"Holy See","2010","Instant replacement","0.794"
"Holy See","2010","Zero migration","0.794"
"Holy See","2010","Constant mortality","0.794"
"Holy See","2010","No change","0.794"
"Holy See","2010","Momentum","0.794"
"Holy See","2009","Medium","0.795"
"Holy See","2009","High","0.795"
"Holy See","2009","Low","0.795"
"Holy See","2009","Constant fertility","0.795"
"Holy See","2009","Instant replacement","0.795"
"Holy See","2009","Zero migration","0.795"
"Holy See","2009","Constant mortality","0.795"
"Holy See","2009","No change","0.795"
"Holy See","2009","Momentum","0.795"
"Holy See","2008","Medium","0.794"
"Holy See","2008","High","0.794"
"Holy See","2008","Low","0.794"
"Holy See","2008","Constant fertility","0.794"
"Holy See","2008","Instant replacement","0.794"
"Holy See","2008","Zero migration","0.794"
"Holy See","2008","Constant mortality","0.794"
"Holy See","2008","No change","0.794"
"Holy See","2008","Momentum","0.794"
"Holy See","2007","Medium","0.796"
"Holy See","2007","High","0.796"
"Holy See","2007","Low","0.796"
"Holy See","2007","Constant fertility","0.796"
"Holy See","2007","Instant replacement","0.796"
"Holy See","2007","Zero migration","0.796"
"Holy See","2007","Constant mortality","0.796"
"Holy See","2007","No change","0.796"
"Holy See","2007","Momentum","0.796"
"Holy See","2006","Medium","0.8"
"Holy See","2006","High","0.8"
"Holy See","2006","Low","0.8"
"Holy See","2006","Constant fertility","0.8"
"Holy See","2006","Instant replacement","0.8"
"Holy See","2006","Zero migration","0.8"
"Holy See","2006","Constant mortality","0.8"
"Holy See","2006","No change","0.8"
"Holy See","2006","Momentum","0.8"
"Holy See","2005","Medium","0.798"
"Holy See","2005","High","0.798"
"Holy See","2005","Low","0.798"
"Holy See","2005","Constant fertility","0.798"
"Holy See","2005","Instant replacement","0.798"
"Holy See","2005","Zero migration","0.798"
"Holy See","2005","Constant mortality","0.798"
"Holy See","2005","No change","0.798"
"Holy See","2005","Momentum","0.798"
"Holy See","2004","Medium","0.797"
"Holy See","2004","High","0.797"
"Holy See","2004","Low","0.797"
"Holy See","2004","Constant fertility","0.797"
"Holy See","2004","Instant replacement","0.797"
"Holy See","2004","Zero migration","0.797"
"Holy See","2004","Constant mortality","0.797"
"Holy See","2004","No change","0.797"
"Holy See","2004","Momentum","0.797"
"Holy See","2003","Medium","0.798"
"Holy See","2003","High","0.798"
"Holy See","2003","Low","0.798"
"Holy See","2003","Constant fertility","0.798"
"Holy See","2003","Instant replacement","0.798"
"Holy See","2003","Zero migration","0.798"
"Holy See","2003","Constant mortality","0.798"
"Holy See","2003","No change","0.798"
"Holy See","2003","Momentum","0.798"
"Holy See","2002","Medium","0.792"
"Holy See","2002","High","0.792"
"Holy See","2002","Low","0.792"
"Holy See","2002","Constant fertility","0.792"
"Holy See","2002","Instant replacement","0.792"
"Holy See","2002","Zero migration","0.792"
"Holy See","2002","Constant mortality","0.792"
"Holy See","2002","No change","0.792"
"Holy See","2002","Momentum","0.792"
"Holy See","2001","Medium","0.788"
"Holy See","2001","High","0.788"
"Holy See","2001","Low","0.788"
"Holy See","2001","Constant fertility","0.788"
"Holy See","2001","Instant replacement","0.788"
"Holy See","2001","Zero migration","0.788"
"Holy See","2001","Constant mortality","0.788"
"Holy See","2001","No change","0.788"
"Holy See","2001","Momentum","0.788"
"Holy See","2000","Medium","0.785"
"Holy See","2000","High","0.785"
"Holy See","2000","Low","0.785"
"Holy See","2000","Constant fertility","0.785"
"Holy See","2000","Instant replacement","0.785"
"Holy See","2000","Zero migration","0.785"
"Holy See","2000","Constant mortality","0.785"
"Holy See","2000","No change","0.785"
"Holy See","2000","Momentum","0.785"
"Honduras","2015","Medium","9112.916"
"Honduras","2015","High","9112.916"
"Honduras","2015","Low","9112.916"
"Honduras","2015","Constant fertility","9112.916"
"Honduras","2015","Instant replacement","9112.916"
"Honduras","2015","Zero migration","9112.916"
"Honduras","2015","Constant mortality","9112.916"
"Honduras","2015","No change","9112.916"
"Honduras","2015","Momentum","9112.916"
"Honduras","2014","Medium","8955.589"
"Honduras","2014","High","8955.589"
"Honduras","2014","Low","8955.589"
"Honduras","2014","Constant fertility","8955.589"
"Honduras","2014","Instant replacement","8955.589"
"Honduras","2014","Zero migration","8955.589"
"Honduras","2014","Constant mortality","8955.589"
"Honduras","2014","No change","8955.589"
"Honduras","2014","Momentum","8955.589"
"Honduras","2013","Medium","8798.521"
"Honduras","2013","High","8798.521"
"Honduras","2013","Low","8798.521"
"Honduras","2013","Constant fertility","8798.521"
"Honduras","2013","Instant replacement","8798.521"
"Honduras","2013","Zero migration","8798.521"
"Honduras","2013","Constant mortality","8798.521"
"Honduras","2013","No change","8798.521"
"Honduras","2013","Momentum","8798.521"
"Honduras","2012","Medium","8640.691"
"Honduras","2012","High","8640.691"
"Honduras","2012","Low","8640.691"
"Honduras","2012","Constant fertility","8640.691"
"Honduras","2012","Instant replacement","8640.691"
"Honduras","2012","Zero migration","8640.691"
"Honduras","2012","Constant mortality","8640.691"
"Honduras","2012","No change","8640.691"
"Honduras","2012","Momentum","8640.691"
"Honduras","2011","Medium","8480.671"
"Honduras","2011","High","8480.671"
"Honduras","2011","Low","8480.671"
"Honduras","2011","Constant fertility","8480.671"
"Honduras","2011","Instant replacement","8480.671"
"Honduras","2011","Zero migration","8480.671"
"Honduras","2011","Constant mortality","8480.671"
"Honduras","2011","No change","8480.671"
"Honduras","2011","Momentum","8480.671"
"Honduras","2010","Medium","8317.47"
"Honduras","2010","High","8317.47"
"Honduras","2010","Low","8317.47"
"Honduras","2010","Constant fertility","8317.47"
"Honduras","2010","Instant replacement","8317.47"
"Honduras","2010","Zero migration","8317.47"
"Honduras","2010","Constant mortality","8317.47"
"Honduras","2010","No change","8317.47"
"Honduras","2010","Momentum","8317.47"
"Honduras","2009","Medium","8150.775"
"Honduras","2009","High","8150.775"
"Honduras","2009","Low","8150.775"
"Honduras","2009","Constant fertility","8150.775"
"Honduras","2009","Instant replacement","8150.775"
"Honduras","2009","Zero migration","8150.775"
"Honduras","2009","Constant mortality","8150.775"
"Honduras","2009","No change","8150.775"
"Honduras","2009","Momentum","8150.775"
"Honduras","2008","Medium","7980.955"
"Honduras","2008","High","7980.955"
"Honduras","2008","Low","7980.955"
"Honduras","2008","Constant fertility","7980.955"
"Honduras","2008","Instant replacement","7980.955"
"Honduras","2008","Zero migration","7980.955"
"Honduras","2008","Constant mortality","7980.955"
"Honduras","2008","No change","7980.955"
"Honduras","2008","Momentum","7980.955"
"Honduras","2007","Medium","7808.518"
"Honduras","2007","High","7808.518"
"Honduras","2007","Low","7808.518"
"Honduras","2007","Constant fertility","7808.518"
"Honduras","2007","Instant replacement","7808.518"
"Honduras","2007","Zero migration","7808.518"
"Honduras","2007","Constant mortality","7808.518"
"Honduras","2007","No change","7808.518"
"Honduras","2007","Momentum","7808.518"
"Honduras","2006","Medium","7634.298"
"Honduras","2006","High","7634.298"
"Honduras","2006","Low","7634.298"
"Honduras","2006","Constant fertility","7634.298"
"Honduras","2006","Instant replacement","7634.298"
"Honduras","2006","Zero migration","7634.298"
"Honduras","2006","Constant mortality","7634.298"
"Honduras","2006","No change","7634.298"
"Honduras","2006","Momentum","7634.298"
"Honduras","2005","Medium","7458.985"
"Honduras","2005","High","7458.985"
"Honduras","2005","Low","7458.985"
"Honduras","2005","Constant fertility","7458.985"
"Honduras","2005","Instant replacement","7458.985"
"Honduras","2005","Zero migration","7458.985"
"Honduras","2005","Constant mortality","7458.985"
"Honduras","2005","No change","7458.985"
"Honduras","2005","Momentum","7458.985"
"Honduras","2004","Medium","7282.953"
"Honduras","2004","High","7282.953"
"Honduras","2004","Low","7282.953"
"Honduras","2004","Constant fertility","7282.953"
"Honduras","2004","Instant replacement","7282.953"
"Honduras","2004","Zero migration","7282.953"
"Honduras","2004","Constant mortality","7282.953"
"Honduras","2004","No change","7282.953"
"Honduras","2004","Momentum","7282.953"
"Honduras","2003","Medium","7106.319"
"Honduras","2003","High","7106.319"
"Honduras","2003","Low","7106.319"
"Honduras","2003","Constant fertility","7106.319"
"Honduras","2003","Instant replacement","7106.319"
"Honduras","2003","Zero migration","7106.319"
"Honduras","2003","Constant mortality","7106.319"
"Honduras","2003","No change","7106.319"
"Honduras","2003","Momentum","7106.319"
"Honduras","2002","Medium","6929.265"
"Honduras","2002","High","6929.265"
"Honduras","2002","Low","6929.265"
"Honduras","2002","Constant fertility","6929.265"
"Honduras","2002","Instant replacement","6929.265"
"Honduras","2002","Zero migration","6929.265"
"Honduras","2002","Constant mortality","6929.265"
"Honduras","2002","No change","6929.265"
"Honduras","2002","Momentum","6929.265"
"Honduras","2001","Medium","6751.912"
"Honduras","2001","High","6751.912"
"Honduras","2001","Low","6751.912"
"Honduras","2001","Constant fertility","6751.912"
"Honduras","2001","Instant replacement","6751.912"
"Honduras","2001","Zero migration","6751.912"
"Honduras","2001","Constant mortality","6751.912"
"Honduras","2001","No change","6751.912"
"Honduras","2001","Momentum","6751.912"
"Honduras","2000","Medium","6574.509"
"Honduras","2000","High","6574.509"
"Honduras","2000","Low","6574.509"
"Honduras","2000","Constant fertility","6574.509"
"Honduras","2000","Instant replacement","6574.509"
"Honduras","2000","Zero migration","6574.509"
"Honduras","2000","Constant mortality","6574.509"
"Honduras","2000","No change","6574.509"
"Honduras","2000","Momentum","6574.509"
"Hungary","2015","Medium","9777.923"
"Hungary","2015","High","9777.923"
"Hungary","2015","Low","9777.923"
"Hungary","2015","Constant fertility","9777.923"
"Hungary","2015","Instant replacement","9777.923"
"Hungary","2015","Zero migration","9777.923"
"Hungary","2015","Constant mortality","9777.923"
"Hungary","2015","No change","9777.923"
"Hungary","2015","Momentum","9777.923"
"Hungary","2014","Medium","9804.991"
"Hungary","2014","High","9804.991"
"Hungary","2014","Low","9804.991"
"Hungary","2014","Constant fertility","9804.991"
"Hungary","2014","Instant replacement","9804.991"
"Hungary","2014","Zero migration","9804.991"
"Hungary","2014","Constant mortality","9804.991"
"Hungary","2014","No change","9804.991"
"Hungary","2014","Momentum","9804.991"
"Hungary","2013","Medium","9833.923"
"Hungary","2013","High","9833.923"
"Hungary","2013","Low","9833.923"
"Hungary","2013","Constant fertility","9833.923"
"Hungary","2013","Instant replacement","9833.923"
"Hungary","2013","Zero migration","9833.923"
"Hungary","2013","Constant mortality","9833.923"
"Hungary","2013","No change","9833.923"
"Hungary","2013","Momentum","9833.923"
"Hungary","2012","Medium","9864.358"
"Hungary","2012","High","9864.358"
"Hungary","2012","Low","9864.358"
"Hungary","2012","Constant fertility","9864.358"
"Hungary","2012","Instant replacement","9864.358"
"Hungary","2012","Zero migration","9864.358"
"Hungary","2012","Constant mortality","9864.358"
"Hungary","2012","No change","9864.358"
"Hungary","2012","Momentum","9864.358"
"Hungary","2011","Medium","9895.68"
"Hungary","2011","High","9895.68"
"Hungary","2011","Low","9895.68"
"Hungary","2011","Constant fertility","9895.68"
"Hungary","2011","Instant replacement","9895.68"
"Hungary","2011","Zero migration","9895.68"
"Hungary","2011","Constant mortality","9895.68"
"Hungary","2011","No change","9895.68"
"Hungary","2011","Momentum","9895.68"
"Hungary","2010","Medium","9927.37"
"Hungary","2010","High","9927.37"
"Hungary","2010","Low","9927.37"
"Hungary","2010","Constant fertility","9927.37"
"Hungary","2010","Instant replacement","9927.37"
"Hungary","2010","Zero migration","9927.37"
"Hungary","2010","Constant mortality","9927.37"
"Hungary","2010","No change","9927.37"
"Hungary","2010","Momentum","9927.37"
"Hungary","2009","Medium","9959.439"
"Hungary","2009","High","9959.439"
"Hungary","2009","Low","9959.439"
"Hungary","2009","Constant fertility","9959.439"
"Hungary","2009","Instant replacement","9959.439"
"Hungary","2009","Zero migration","9959.439"
"Hungary","2009","Constant mortality","9959.439"
"Hungary","2009","No change","9959.439"
"Hungary","2009","Momentum","9959.439"
"Hungary","2008","Medium","9991.867"
"Hungary","2008","High","9991.867"
"Hungary","2008","Low","9991.867"
"Hungary","2008","Constant fertility","9991.867"
"Hungary","2008","Instant replacement","9991.867"
"Hungary","2008","Zero migration","9991.867"
"Hungary","2008","Constant mortality","9991.867"
"Hungary","2008","No change","9991.867"
"Hungary","2008","Momentum","9991.867"
"Hungary","2007","Medium","10024.149"
"Hungary","2007","High","10024.149"
"Hungary","2007","Low","10024.149"
"Hungary","2007","Constant fertility","10024.149"
"Hungary","2007","Instant replacement","10024.149"
"Hungary","2007","Zero migration","10024.149"
"Hungary","2007","Constant mortality","10024.149"
"Hungary","2007","No change","10024.149"
"Hungary","2007","Momentum","10024.149"
"Hungary","2006","Medium","10055.653"
"Hungary","2006","High","10055.653"
"Hungary","2006","Low","10055.653"
"Hungary","2006","Constant fertility","10055.653"
"Hungary","2006","Instant replacement","10055.653"
"Hungary","2006","Zero migration","10055.653"
"Hungary","2006","Constant mortality","10055.653"
"Hungary","2006","No change","10055.653"
"Hungary","2006","Momentum","10055.653"
"Hungary","2005","Medium","10085.937"
"Hungary","2005","High","10085.937"
"Hungary","2005","Low","10085.937"
"Hungary","2005","Constant fertility","10085.937"
"Hungary","2005","Instant replacement","10085.937"
"Hungary","2005","Zero migration","10085.937"
"Hungary","2005","Constant mortality","10085.937"
"Hungary","2005","No change","10085.937"
"Hungary","2005","Momentum","10085.937"
"Hungary","2004","Medium","10114.48"
"Hungary","2004","High","10114.48"
"Hungary","2004","Low","10114.48"
"Hungary","2004","Constant fertility","10114.48"
"Hungary","2004","Instant replacement","10114.48"
"Hungary","2004","Zero migration","10114.48"
"Hungary","2004","Constant mortality","10114.48"
"Hungary","2004","No change","10114.48"
"Hungary","2004","Momentum","10114.48"
"Hungary","2003","Medium","10141.342"
"Hungary","2003","High","10141.342"
"Hungary","2003","Low","10141.342"
"Hungary","2003","Constant fertility","10141.342"
"Hungary","2003","Instant replacement","10141.342"
"Hungary","2003","Zero migration","10141.342"
"Hungary","2003","Constant mortality","10141.342"
"Hungary","2003","No change","10141.342"
"Hungary","2003","Momentum","10141.342"
"Hungary","2002","Medium","10167.283"
"Hungary","2002","High","10167.283"
"Hungary","2002","Low","10167.283"
"Hungary","2002","Constant fertility","10167.283"
"Hungary","2002","Instant replacement","10167.283"
"Hungary","2002","Zero migration","10167.283"
"Hungary","2002","Constant mortality","10167.283"
"Hungary","2002","No change","10167.283"
"Hungary","2002","Momentum","10167.283"
"Hungary","2001","Medium","10193.449"
"Hungary","2001","High","10193.449"
"Hungary","2001","Low","10193.449"
"Hungary","2001","Constant fertility","10193.449"
"Hungary","2001","Instant replacement","10193.449"
"Hungary","2001","Zero migration","10193.449"
"Hungary","2001","Constant mortality","10193.449"
"Hungary","2001","No change","10193.449"
"Hungary","2001","Momentum","10193.449"
"Hungary","2000","Medium","10220.507"
"Hungary","2000","High","10220.507"
"Hungary","2000","Low","10220.507"
"Hungary","2000","Constant fertility","10220.507"
"Hungary","2000","Instant replacement","10220.507"
"Hungary","2000","Zero migration","10220.507"
"Hungary","2000","Constant mortality","10220.507"
"Hungary","2000","No change","10220.507"
"Hungary","2000","Momentum","10220.507"
"Iceland","2015","Medium","330.243"
"Iceland","2015","High","330.243"
"Iceland","2015","Low","330.243"
"Iceland","2015","Constant fertility","330.243"
"Iceland","2015","Instant replacement","330.243"
"Iceland","2015","Zero migration","330.243"
"Iceland","2015","Constant mortality","330.243"
"Iceland","2015","No change","330.243"
"Iceland","2015","Momentum","330.243"
"Iceland","2014","Medium","328.594"
"Iceland","2014","High","328.594"
"Iceland","2014","Low","328.594"
"Iceland","2014","Constant fertility","328.594"
"Iceland","2014","Instant replacement","328.594"
"Iceland","2014","Zero migration","328.594"
"Iceland","2014","Constant mortality","328.594"
"Iceland","2014","No change","328.594"
"Iceland","2014","Momentum","328.594"
"Iceland","2013","Medium","327.187"
"Iceland","2013","High","327.187"
"Iceland","2013","Low","327.187"
"Iceland","2013","Constant fertility","327.187"
"Iceland","2013","Instant replacement","327.187"
"Iceland","2013","Zero migration","327.187"
"Iceland","2013","Constant mortality","327.187"
"Iceland","2013","No change","327.187"
"Iceland","2013","Momentum","327.187"
"Iceland","2012","Medium","325.652"
"Iceland","2012","High","325.652"
"Iceland","2012","Low","325.652"
"Iceland","2012","Constant fertility","325.652"
"Iceland","2012","Instant replacement","325.652"
"Iceland","2012","Zero migration","325.652"
"Iceland","2012","Constant mortality","325.652"
"Iceland","2012","No change","325.652"
"Iceland","2012","Momentum","325.652"
"Iceland","2011","Medium","323.474"
"Iceland","2011","High","323.474"
"Iceland","2011","Low","323.474"
"Iceland","2011","Constant fertility","323.474"
"Iceland","2011","Instant replacement","323.474"
"Iceland","2011","Zero migration","323.474"
"Iceland","2011","Constant mortality","323.474"
"Iceland","2011","No change","323.474"
"Iceland","2011","Momentum","323.474"
"Iceland","2010","Medium","320.328"
"Iceland","2010","High","320.328"
"Iceland","2010","Low","320.328"
"Iceland","2010","Constant fertility","320.328"
"Iceland","2010","Instant replacement","320.328"
"Iceland","2010","Zero migration","320.328"
"Iceland","2010","Constant mortality","320.328"
"Iceland","2010","No change","320.328"
"Iceland","2010","Momentum","320.328"
"Iceland","2009","Medium","316.062"
"Iceland","2009","High","316.062"
"Iceland","2009","Low","316.062"
"Iceland","2009","Constant fertility","316.062"
"Iceland","2009","Instant replacement","316.062"
"Iceland","2009","Zero migration","316.062"
"Iceland","2009","Constant mortality","316.062"
"Iceland","2009","No change","316.062"
"Iceland","2009","Momentum","316.062"
"Iceland","2008","Medium","310.856"
"Iceland","2008","High","310.856"
"Iceland","2008","Low","310.856"
"Iceland","2008","Constant fertility","310.856"
"Iceland","2008","Instant replacement","310.856"
"Iceland","2008","Zero migration","310.856"
"Iceland","2008","Constant mortality","310.856"
"Iceland","2008","No change","310.856"
"Iceland","2008","Momentum","310.856"
"Iceland","2007","Medium","305.183"
"Iceland","2007","High","305.183"
"Iceland","2007","Low","305.183"
"Iceland","2007","Constant fertility","305.183"
"Iceland","2007","Instant replacement","305.183"
"Iceland","2007","Zero migration","305.183"
"Iceland","2007","Constant mortality","305.183"
"Iceland","2007","No change","305.183"
"Iceland","2007","Momentum","305.183"
"Iceland","2006","Medium","299.72"
"Iceland","2006","High","299.72"
"Iceland","2006","Low","299.72"
"Iceland","2006","Constant fertility","299.72"
"Iceland","2006","Instant replacement","299.72"
"Iceland","2006","Zero migration","299.72"
"Iceland","2006","Constant mortality","299.72"
"Iceland","2006","No change","299.72"
"Iceland","2006","Momentum","299.72"
"Iceland","2005","Medium","294.979"
"Iceland","2005","High","294.979"
"Iceland","2005","Low","294.979"
"Iceland","2005","Constant fertility","294.979"
"Iceland","2005","Instant replacement","294.979"
"Iceland","2005","Zero migration","294.979"
"Iceland","2005","Constant mortality","294.979"
"Iceland","2005","No change","294.979"
"Iceland","2005","Momentum","294.979"
"Iceland","2004","Medium","291.104"
"Iceland","2004","High","291.104"
"Iceland","2004","Low","291.104"
"Iceland","2004","Constant fertility","291.104"
"Iceland","2004","Instant replacement","291.104"
"Iceland","2004","Zero migration","291.104"
"Iceland","2004","Constant mortality","291.104"
"Iceland","2004","No change","291.104"
"Iceland","2004","Momentum","291.104"
"Iceland","2003","Medium","287.952"
"Iceland","2003","High","287.952"
"Iceland","2003","Low","287.952"
"Iceland","2003","Constant fertility","287.952"
"Iceland","2003","Instant replacement","287.952"
"Iceland","2003","Zero migration","287.952"
"Iceland","2003","Constant mortality","287.952"
"Iceland","2003","No change","287.952"
"Iceland","2003","Momentum","287.952"
"Iceland","2002","Medium","285.329"
"Iceland","2002","High","285.329"
"Iceland","2002","Low","285.329"
"Iceland","2002","Constant fertility","285.329"
"Iceland","2002","Instant replacement","285.329"
"Iceland","2002","Zero migration","285.329"
"Iceland","2002","Constant mortality","285.329"
"Iceland","2002","No change","285.329"
"Iceland","2002","Momentum","285.329"
"Iceland","2001","Medium","282.907"
"Iceland","2001","High","282.907"
"Iceland","2001","Low","282.907"
"Iceland","2001","Constant fertility","282.907"
"Iceland","2001","Instant replacement","282.907"
"Iceland","2001","Zero migration","282.907"
"Iceland","2001","Constant mortality","282.907"
"Iceland","2001","No change","282.907"
"Iceland","2001","Momentum","282.907"
"Iceland","2000","Medium","280.435"
"Iceland","2000","High","280.435"
"Iceland","2000","Low","280.435"
"Iceland","2000","Constant fertility","280.435"
"Iceland","2000","Instant replacement","280.435"
"Iceland","2000","Zero migration","280.435"
